boongan,bohongan
nurunin,nurunkan
negri,negeri
ngapresiasi,mengapresiasi
ngebayangin,membayangkan
sya,saya
kmudian,kemudia
dijadiin,dijadikan
ngarahin,mengarahkan
manfaatin,manfaatkan
klmpok,kelompok
lbh,lebih
piq,babi
jngan,jangan
sbgian,sebagian
ngeles,menghindar
negative,negatif
thingking,berpikir
laen,lain
nebeng,numpang
naek,naik
yth,yang terhormat
skrang,sekarang
kokohwi,jokowi
sebgian,sebagian
ancur,hancur
hancurin,hancurkan
nyela,mencela
nyusahkan,menyusahkan
membubarin,membubarkan
brang,barang
ntahlah,entahlah
kwalitas,kualitas
beritain,beritakan
cpat,cepat
orgtu,orang tua
ngatur,mengatur
masyrakat,masyarakat
seneng,senang
ngawasin,mengawasi
bln,bulan
pling,paling
plng,paling
adem ayem,tenang
tlglah,tolonglah
mmg,memang
ktegasan,ketegasan
trimakasih,terima kasih
sperti,seperti
plg,paling
dipajke,dipakai
lu,kamu
ente,kamu
mbengkak,membengkak
kmana,kemana
pndukung,pendukung
mntp,mantap
mlawan,melawan
kwn,kawan
dy,dia
kpla,kepala
dl,dulu
serahin,serahkan
kyak,seperti
ndesopun,desapun
kyknya,sepertinya
bgini,begini
dlu,dulu
sbnarnya,sebenarnya
naeknya,naiknya
berhsl,berhasil
mendpat,mendapat
Sdhlh,sudahlah
shrsnya,seharusnya
shr,seharus
make,makai
kmi,kami
ngk,tidak
warbiasak,luar biasa
bnci,benci
doeloe,dulu
lbih,lebih
menetang,menentang
neg,negara
warbiyasak,luarbiasa
ketakberpihakan ,ketidakberpihakan
ny,nya
ustdz,ustadz
mreka,mereka
pmrintah,pmrintah
programx,programnya
meraralela,merajalela
mrk,mereka
ina,indonesia
mlihat,melihat
demen,suka
bgt,begitu
emg,emang
banyangin,banyangkan
cmn,hanya
resim,rezim
rejim,rezim
indo,indonesia
pnting,penting
spnuhnya,sepenuhnya
trs,terus
g,tidak
trbesar,terbesar
duh,aduh
mengugat,menggugat
tanyain,tanyakan
napa,kenapa
blik,balik
prof,profesr
nyampe,sampai
nyalahin,menyalahkan
teralhir,terakhir
hikim,hukum
lwt,lewat
menhargai,menghargai
mlah,malah
pake,pakai
mikirin,mikirkan
lht,lihat
kritisx,kritisnya
mojokin,mojokkan
seorg,seorang
nyalahn,nyalahkan
jka,jika
sbgmn,sebagaimana
ngr,negara
mnyuruh,menyuruh
sgera,segera
bw,bawa
sma,sama
kta,kita
mnjaga,menjaga
mluruskan,meluruskan
ama,sama
wil,wilayah
thp,terhadap
gile,gila
srta,serta
mjd,menjadi
ktk,ketika
mendkg,mendukung
trima,terima
mslah,masalah
aje,aja
hrus,harus
pljran,pelajaran
ora percoyo, tidak percaya
mknya,makanya
gmn,gimana
mnjabat,menjabat
ktmu,ketemu
mngenai,mengenai
tengkiuw,terima kasih
sjauh,sejauh
jauh2,jauh-jauh
masyrkat,masyarakat
dsrnya,dasarnya
psal,pasal
disluruh,diseluruh
kndor,kendor
mjadi,menjadi
terjd,terjadi
dibenerin,dibenarkan
ame,sama
pres,presiden
ggl,gagal
mhal,mahal
klen,kalian
gx,tidak
nda,tidak
ato,atau
sblom,sebelum
ktnya,katanya
kt,kata
slm,salam
nma,nama
syg,sayang
mbawa,membawa
pokoke,pokoknya
aplg,apalagi
prl,perlu
jkt,jakarta
ktanya,katanya
pinternya,pintarnya
dak,tidak
ng,tidak
nothing,tidak ada
stiap,setiap
alloh,allah
ortnya,orangtuanya
pnjang,panjang
skg,sekarang
bravo,mantap
betol,betul
laporin,laporkan
sbagai,sebagai
tetp,tetap
jwban,jawaban
bdg,bandung
sbaiknya,sebaiknya
blom,belum
gen,generasi
msk,masuk
why,mengapa
ngerecokin,merecoki
duitnya,uangnya
merubah,mengubah
mnjm,menjamin
bersnergi,bersinergi
mewujudkn,mewujudkan
bkrj,bekerja
bkrjasma,bekerja sama
mngkin,mungkin
msti,mesti
blkg,belakang
tar,nanti
ngeliat,melihat
ude,sudah
bnr,benar
tmp,tempat
jokwi,jokowi
ngirim,mengirim
jwbnnya,jawabannya
slsaikn,selesaikan
dkung,dukung
pndkung,pendukung
trjadi,terjadi
hkum,hukum
skaranglah,sekaranglah
ngancem,mengancam
hadu,aduh
sono,sana
tbang,tebang
prcaya,percaya
pesen,pesan
jmlhnya,jumlahnya
ngenes,miris
baek,baik
gni,gini
emgnya,memangnya
sblum,sebelum
kyk,seperti
sbnrnya,sebenarnya
kykna,sepertinya
mo,mau
mersk,merusak
mlnggar,melanggar
des,desember
diemin,diamkan
didiemin,didiamkan
apkh,apakah
ne,ini
neh,ini
slamt,selamat
hri,hari
bnyak,banyak
lgi,lagi
tereak,teriak
polbus,politik busuk
ngecam,mengecam
dimatiin,dimatikan
dongok,bodoh
tetep,tetap
kenceng,kencang
bgm,bagaimana
opo,apa
iki,ini
jelekin,jelekkan
lom,belum
tdkkah,tidakkah
mgkin,mungkin
pmrnthn,pemerintahan
mrh,marah
mbls,membalas
sgt,sangat
stl,setelah
gunain,gunakan
bgnan,bangunan
mksd,maksud
mangnya,memangnya
mmgnya,memangnya
jatohin,jatuhkan
kaw,kamu
brani,bernai
aza,aja
sdng,sedang
lpgn,lapangan
Kweereenn,keren
bknnya,bukannya
atou,atau
bgmn,bagaimana
gegara,gara-gara
trus,terus
dolo,dulu
nti,nanti
mhn,mohon
leluasa,bebas
trhadap,terhadap
smua,semua
smp,sampai
adem,tenang
infrast,infrastrutur
infra,infrastruktur
stuju,setuju
spndpt,sependapat
ogah,enggan
Hadehhh,aduh
kudu,perlu
kcau,kacau
prnh,pernah
msa,masa
ditangkep,ditangkap
palalu,kepalamu
mnjd,menjadi
seakn,seakan
ttpi,tetapi
bkerja,bekerja
mksudnya,maksudnya
orngnya,orangnya
trimksh,terima kasih
menjg,menjaga
bacotnye,nyinyirnya
bacot,nyinyir
dipake,dipakai
sjk,sejak
sapa,siapa
blg,bilang
bpk,bapak 
sgl,segala
sdgkan,sedangkan
sgr,segera
mlu,malu
hrpn,harapan
dkng,dukung
bhkan,bahkan
spt,seperti
hkm,hukum
stgh,setengah
bingit,banget
alesan,alasan
tksh,terima kasih
klrga,keluarga
tw,tahu
rakjat,rakyat
terlnjur,terlanjur
krg,kurang
sbnarny,sebenarnya
kayanya,sepertinya
bbr,beberapa
kedlm,kedalam
sekrg,sekarang
jmn,zaman
nggk,tidak
ats,atas
oye,oke
kcl,kecil
bgn,bangun
sekarng,sekarng
ngelunjak,melunjak
mrka,mereka
congrats,selamat
idup,hidup
ybs,yang bersangkutan
pemrinthan,pemerintahan
bngt,banget
tersbt,tersebut
rahmarah,marah
cupet,cepat
dri,dari
mmaksa,memaksa
bwhannya,bawahannya
jbtan,jabatan
slmat,selamat
menjalnkn,menjalankan
u/,untuk
kptsan,keputusan
sll,selalu
salh,salah
nmn,namun
nmnya,namanya
ngetwit,tweet
brsama,bersama
brsma,bersama
smkn,semakin
mang,memang
gra,gara
nntn,nonton
mnrt,menurt
jngn,jangan
tu,itu
k,ke
lupain,lupakan
brkaitan,berkaitan
mengendlikan,mengendalikan
sudh,sudah
mendpt,medapat
dapt,dapat
mendptkan,mendapatkan
kowe,kamu
masy,masyarakat
ngra,negara
srd,saudara
d,di
tuk,untuk
bedain,bedakan
direnungin,direnungkan
beye,susilo bambang yudhoyono
dngki,dengki
issue,isu
nieh,ini
or,atau
koq,kok
parte,partai
bukn,bukan
pernh,pernah
warning,peringatan
melampoi,melampaui
bdampak,berdampak
dipinjem,dipinjam
blon,belum
krjkn,kerjakan
alhmdllh,alhamdulillah 
qt,kita
sdhlah,sudahlah
wkt,waktu
lmbga,lembaga
pkrja,pekerja
wktu,waktu
brhsl,berhasil
brhsil,berhasil
terbr,terbaru
tegor,tegur
sgtu,segitu
maen,main
ngantrinya,mengantrinya
gedhe,besar
ne,ini
ngawur,asal-asalan
keruan,tentu
twit,tweet
mnjalankan,menjalankan
trmaksh,terima kasih
keluarin,keluarkan
ngedumel,marah
mnjlkn,menjalankan
diblk,dibalik
skr,sekarang
sls,selesai
ngungsi,mengungsi
sebwsar,sebesar
pr,para
bsnya,bisanya
nyusahin,menyusahkan
cn,caknun
cape,capek
dpake,dipakai
byr,bayar
jng,jangan
gerindong,gerinda
koalisix,koalisinya
sapapun,siapapun
pekaes,pks
elu,kamu
salagi,selagi
tntng,tentang
gua,saya
dibubarin,dibubarkan
berbah,berubah
taun,tahun
taunya,tahunya
bca,baca
tsk,tersangka
mlht,melihat
fkta,fakta
ketahuan,ketahuan
belom,belum
mndptkn,mendapatkan
dtg,datang
tbaik,terbaik
berjln,berjalan
kluarin,keluarkan
bgmna,bagaimana
ngelarang,melarang
bloon,bodoh
cemana,bagaimana
diturunin,diturunkan
diingatin,diingatkan
bts,batas
padet,padat
mindahin,mindahkan
pindahin,pindahkan
diapain,diapakan
pa,bapak
sistim,sistem
srng,sering
leadership,kepemimpinan
out,keluar
tul,betul
bdng,bidang
hy,hanya
deket,dekat
skalian,sekalian
ajarin,ajarkan
mbenci,membenci
mlarat,melarat
dipinggirin,dipinggirkan
onta,unta
ndeso,kampungan
belio,beliau
ttep,tetap
trmasuk,termasuk
taun2,tahun-tahun
ntr,nanti
ntar,nanti
gerimbolan,gerombolan
abis,habis
thx,terima kasih
mmbrikan,memberikan
getoff,keluar
jlan,jalan
yaqin,yakin
setau,setahu
scr,secara
jua,juga
trllu,terlalu
dn,dan
handehh,aduh
krn,karena 
elok,bagus
ndak,tidak
males,malas 
rubuh,roboh
kaleum,santai
ngumpet,sembunyi
ngelayani,melayani
ngimpi,mimpi
bubarin,bubarkan
kbnykn,kebanyakan
wkl,wakil
dng,dengan
lh,lah
kn,kan
ditegasin,ditegaskan
sbgi,sebagai
didpt ,didapat
goodbye,selamat tinggal
dkat,dekat
tks,terima kasih
jalanin,jalankan
tntnya,tentunya
pmrntah,pemerintah
hayo,ayo
ketangkep,ketangkap
cpt,cepat 
mk,maka 
tendyangg,tentang
mntri,menteri
mlibatkan,melibatkan
am,sama
ktngkap,ketangkap
scra,secara
ntn,nonton
perlahan2,perlahan-lahan
tkng,tukang
sbsr,sebesar
ntu,itu
dmna,dimana
dmana,dimana
dmn,dimana 
akherat,akhirat
redho,ridho
gila2an,gila-gilaan
mantab,mantap
iyes,iya
da,ada
saty2nya,satu-satunya
doeloe,dulu
sdkt,sedikit
kliru,keliru
mnjdi,menjadi
sodaraku,saudaraku
gbr,gambar
sebrang,seberang
tdklah,tidaklah
prsden,presiden
ahir,akhir
pemb,pembangunan
doain,doakan
horang,orang
sing,orang
waras,sehat
jlang,jelang
tengok,lihat
mslhnya,masalahnya
blio,beliau
dikibulin,dibohongi
hmpr,hampir
optmis,optimis
masya,masyarakat
msyrkat,masyarakat
nyalain,nyalahkan
mghujat,menghujat
indon,indonesia
setaun,setahun
Warbyasak,luarbiasa
kaga,tidak 
bp,bapak
oonnya,bodohnya
ocehin,ocehkan
mekso,maksa
ngejatuhin,menjatuhkan
mampaat,manfaat
nganggurin,menganggurkan
ngkritik,mengkritik
pk,bapak
gub,gubernur
sppun,siapapun
nggih,baik
triak,teriak
kbanyakan ,kebanyakan
ngrecoki,merecoki
ngmg,bicara
nerusin,meneruskan
taux,tahunya
ja,aja
 sbelmnya,sebelumnya
pmrthan,pemerintahan
jatuhin,jatuhkan
diselesaiin,diselesaikan
ngaitin,mengaitkan
unt,untuk
perbhan,perubahan
terllu,terlalu
u,untuk
sampean,kamu
cogrtaz ,selamat
mntal,mental
kepd,kepada
wong,orang
semuax,semuanya
trims,terima kasih
berlama2,berlama-lama
mrpkan,merupakan
klow,kalau
haknye,haknya
and,dan
bengkokin,bengkokkan
mnambah,menambah
agamanye,agamanya
d,di
k,ke
diserng,diserang
apdate,update
pingin,ingin
cilik,kecil
ad,ada
mksdnya,maksudnya
dijaman,dizaman
gmna,bagaimana
prcya,percaya
inget,ingat
benera,benaran
denger,dengar
dengernya,dengarnya
dkg,dukung
slrh,seluruh
upcr,upacara
ttng,tentang
laen,lain
minjem,minjam
mmbangun,membangun
diprlukan,diperlukan
brbagai,berbagai
ngliat,melihat
gede2an,besar-besaran
dodol,bodoh
tdknya,tidaknya
tngh,tengah
brhrp,berharap
ngutang,hutang
ijin,izin
gx,tidak
nyungsep,jatuh
nyungsepkan,jatuhkan
emg,memang
nga,tidak
dikrnkan,dikarenakan
nongol,muncul
terdpn,terdepan
nyelesaiin,menyelesaikan
mnurut,menurut
mnrut,menurut
pndpt,pendapat 
ributin,ributkan
salahin,salahkan
disalahin,disalahkan
ajah,aja
bahlul,bodoh
mencydux,menciduk
prhatikan,perhatikan
berhentiin,berhentikan
tiati,hati hati
diteriakin,diteriakan
tar,nanti
teyuss,terus
naekin,naikkan
ugkp,ungkap
mmbela,membela
wlw,walaupun
wadoh,aduh
jgnkan,jangankan
tadz,ustadz
diramein,diramaikan
neh,ini
dibubarkn,dibubarkan
thq,terima kasih
warbisayasak,luarbiasa
pembnuh,pembunuh
ngapaen,ngapain
ind,indonesia
Pmrnth,pemerintahan
dipakek,dipakai
dngnya,dengannya
brharap,berharap
berwnang,berwenang
kao,kau
agiah,kasih
x,kali
hitunganx,hitungannya
trmksh,terima kasih
klpk,kelompok
ngarti,mengerti
pakta,fakta
pidio,video
klmpk,kelompok
mlempem,lemah
Jealous,cemburu
ngibul,bohong
wonk,orang
taggngjwb,tanggung jawab
suport,semangat
mensuport,mendukung
brjalan,berjalan
trhjun,terjun
bobo,tidur
ngingetin,mengingatkan
ttap,tetap
sndiri,sendiri
sbgai,sebagai
kbrhsilannya,keberhasilannya
ksmptn,kesempatan
tk,tidak
pade,pada
stelah,setelah
songong,sombong
jman,zaman
jdkan,jadikan
perbaikin,perbaikkan
cucok,cocok
mekritik,mengkritik
mngganggu,mengganggu
sbb,sebab
mnjalankn,menjalankan
ditulisin,dituliskan
sedng,sedang
diparingi,diberikan
sngaja,sengaja
guoblok,bodoh
pnegakan,penegakan
sbenarnya,sebenarnya
sgrombolan,segerombolan
blakangnya,belakangnya
gobloknya,bodohnya
nywa,nyawa
lgsg,langsung
twitnya,tweetnya
mghiraukan,menghiraukan
ssuai,sesuai
maem,makan
sstu,sesuatu
pntr,pintar
kmntrin,komentarin
adakh,adakah
krya,karya
taulah,tahulah
mbayar,membayar
tlong,tolong
prsh,perusahaan
perlihatkn,perlihatkan
kbtln,kebetulan
konci,kunci
sorga,surga
jend,jenderal
agree,benar
khbisan,kehabisan
ngancurin,menghancurkan
kjadian,kejadian
mnjatuhkan,menjatuhkan
kcuali,kecuali
mlulu,melulu
dislesaikan,diselesaikan
rnkp,rangkap
jbtn,jabatan
msalah,msalah
dalm,dalam
blng,bilang
acr,acara
koplak,idot
tdrnya,tidurnya
didalem,didalam
bngun,bangun
membngun,membangun
stdkny,setidaknya
gendeng,gila
share,bagikan
keleusss,kali
bingit,sekali
kliatan,kelihatan
stidaknya,setidaknya
nehh,ini
jelasin,jelaskan
ktm,ketemu
ktmu,ketemu
waket,wakil ketua
pilkada,pemilihan daerah
pilpres,pemilihan presiden
pemilu,pemilihan umum
smw,semua
enek,muak
mlakukan,melakukan
projo,pro jokowi
prabs,prabowo
smi,sri mulyani
nyiyir,cerewet
dibwt,dibuat
tdhp,terhadap
 ngalahin,mengalahkan
memprofokasi,memprovokasi
diladenin,dilawan
jongos,pelayan
jongosnya,pelayannya
jongosnye,pelayannya
nyamar,menyamar
asslm,assalamualaikum
spanjang,sepanjang
goal,tujuan
pdkg,pendukung
lovers,pencinta
haters,membenci
